C 79       |NGC 3201                 |NGC 3201                 |NGC 3201                 |                         |                              |Globular Cluster                                 |154.40342 -46.41247        |            ~ ~   | 8.24 
C 80       |NGC 5139                 |NGC 5139                 |NAME OME CEN CLUSTER     |NGC 5139                 |                              |Globular Cluster                                 |201.69700 -47.47947        |            ~ ~   | 5.33 
C 81       |NGC 6352                 |NGC 6352                 |NGC 6352                 |                         |                              |Globular Cluster                                 |261.37129 -48.42217        |            ~ ~   | 8.87 
C 82       |NGC 6193                 |NGC 6193                 |NGC 6193                 |                         |                              |Cluster of Stars                                 |250.333 -48.763            |     0.28 -4.79   | 5.2  
C 83       |NGC 4945                 |NGC 4945                 |NGC 4945                 |                         |                              |Seyfert 2 Galaxy                                 |196.363663 -49.467900      |            ~ ~   |14.40 
C 84       |NGC 5286                 |NGC 5286                 |NGC 5286                 |                         |                              |Globular Cluster                                 |206.61171 -51.37425        |            ~ ~   | 8.31 
C 85       |IC 2391                  |NAME OMI VEL CLUSTER     |IC 2391                  |                         |                              |Open (galactic) Cluster                          |130.133 -53.033            |   -25.05 22.65   | 2.5  
C 86       |NGC 6397                 |NGC 6397                 |NGC 6397                 |                         |                              |Globular Cluster                                 |265.17538 -53.67433        |            ~ ~   | 6.68 
C 87       |NGC 1261                 |NGC 1261                 |NGC 1261                 |                         |                              |Globular Cluster                                 |048.06754 -55.21622        |            ~ ~   | 9.10 
C 88       |NGC 5823                 |NGC 5823                 |NGC 5823                 |                         |                              |Open (galactic) Cluster                          |226.4367 -55.6250          |    -5.77 -4.61   | 7.9  
C 89       |NGC 6067                 |NGC 6067                 |NGC 6067                 |                         |                              |Open (galactic) Cluster                          |243.296 -54.218            |    -0.98 -4.86   | 5.6  
C 90       |NGC 2867                 |NGC 2867                 |NGC 2867                 |                         |                              |Planetary Nebula                                 |140.355571 -58.311303      |            ~ ~   |     ~
C 91       |NGC 3532                 |NGC 3532                 |NGC 3532                 |                         |                              |Cluster of Stars                                 |166.413 -58.753            |     -9.25 3.88   | 3.0  
C 92       |NGC 3372                 |NGC 3372                 |NAME KEYHOLE             |NGC 3372                 |                              |HII (ionized) region                             |161.0792 -59.8892          |            ~ ~   |     ~
C 93       |NGC 6752                 |NGC 6752                 |NGC 6752                 |                         |                              |Globular Cluster                                 |287.71712 -59.98456        |            ~ ~   | 6.28 
C 94       |NGC 4755                 |NGC 4755                 |NAME Herschel's Jewel Box|NGC 4755                 |                              |Open (galactic) Cluster                          |193.412 -60.362            |    -4.44 -0.67   |     ~
C 95       |NGC 6025                 |NGC 6025                 |NGC 6025                 |                         |                              |Cluster of Stars                                 |240.821 -60.432            |    -3.71 -2.77   | 5.1  
C 96       |NGC 2516                 |NGC 2516                 |NAME DIAMOND CLUSTER     |NGC 2516                 |                              |Open (galactic) Cluster                          |119.517 -60.753            |    -3.78 10.46   | 3.8  
