,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
347,HD 240475,,HD 240475,HIP 174,,,,,,0.55163355759,59.96534552738,14.033,-0.367,2.6242,381.069,pc,SB*,G9II-III,,8.529044,9.88,8.85
348,BD+66  1675,,,HIP 172,,,NGC 7822 14,,,0.54286960254,67.40895246161,-1.649,-2.068,0.9248,1081.315,pc,*,O7.5Vz,,8.576736,10.16,9.08
349,HD 224949,,HD 224949,HIP 158,,,,,,0.50084468252,-37.9018764815,121.128,-35.553,5.7979,172.476,pc,PM*,K0III,,6.82281,8.1,7.09
350,HD 224977,,HD 224977,,,,,,,0.56069753542,-33.73021639879,22.79,-1.932,3.8188,261.862,pc,*,F8/G0V,,9.74737,10.44,9.84
351,LEDA  198765,,,,,,,,,0.56984534317,-31.77533296809,6.4,-9.4,,,,Sy2,,15.54,19.814062,16.41,13.49
352,HD 224964,,HD 224964,HIP 163,,,,,,0.51719396828,-30.68522914017,17.864,2.017,4.1288,238.146,pc,*,A3V,,8.970078,9.07,8.96
353,HD 224998,,HD 224998,,,,,,,0.59696209068,-28.56906949763,4.236,-14.21,2.5298,395.288,pc,*,K1III,,8.636036,10.03,8.91
354,* zet Scl,,HD 224990,HIP 183,HR 9091,,,,,0.58302942717,-29.72044125463,9.181,15.079,4.8234,207.323,pc,SB*,B5IV,,4.994605,4.879,5.022
355,HD 224976,,HD 224976,,,,,,,0.54968881218,-30.25081008152,20.1,2.8,,,,*,F3V,,10.297121,10.36,10.0
356,ESO 409-5,,,,,,,,,0.51466393784,-28.58314188321,2.7,-0.6,,,,G,,14.9,19.581308,16.43,13.19
357,MCG-05-01-025,,,,,,,,,0.52276259872,-30.61905279852,2.6,0.4,,,,G,,14.533,18.585588,15.91,11.7
