,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
630,HD 225141,,HD 225141,,,,,,,0.94241603427,-22.6551616336,6.923,6.406,1.2732,785.423,pc,*,K0,,9.877162,11.35,10.15
631,HD 225117,,HD 225117,,,,,,,0.90297568334,-17.53954334613,76.679,11.469,5.6505,176.975,pc,PM*,F7V,,9.425084,10.02,9.55
632,HD 225154,,HD 225154,,,,,,,0.9758362589,-17.73649347847,6.531,40.345,3.8585,264.911,pc,*,F0V,,9.834719,10.402,10.059
633,*   2 Cet,,HD 225132,HIP 301,HR 9098,,,,,0.9349492958375,-17.3359914428644,25.363,-8.987,10.5075,95.1701,pc,*,B9IVn,,4.516587,4.483,4.536
634,HD 225131,,HD 225131,,,,,,,0.91912125029,-14.08525654661,4.053,-0.645,1.7875,449.002,pc,*,A3/5II,,9.882834,10.158,9.871
635,HD 225140,,HD 225140,,,,,,,0.96875737993,-13.68306452063,-1.965,-13.533,4.7414,176.27,pc,*,F5V,,9.248198,9.929,9.484
636,HD 225153,,HD 225153,,,,,,,0.97703496759,-3.03760939358,-8.623,-23.217,5.326,184.168,pc,*,G3/5V,,10.283868,10.963,10.389
637,HD 225130,,HD 225130,,,,,,,0.93808664056,-3.41677637216,9.796,-7.162,0.9964,1003.613,pc,*,K2III,,8.73167,10.79,9.2
638,HD 225162,,HD 225162,,,,,,,0.99681115087,-4.30999746561,27.615,-42.762,2.6766,373.608,pc,PM*,K0IV,,8.535284,9.99,8.88
639,HD 225152,,HD 225152,,,,,,,0.97793441429,-2.56109828883,8.552,-7.555,1.1198,886.165,pc,*,K0/2,,10.149996,11.376,10.432
640,HD 225129,,HD 225129,,,,,,,0.92462640208,-1.55555306546,39.126,3.833,3.1733,317.841,pc,*,K0III,,9.118314,10.316,9.548
641,HD 225116,,HD 225116,,,,,,,0.91240300971,1.58614165467,-5.421,13.382,1.5843,,,*,G8IV,,8.853081,10.18,9.1
642,HD 225128,,HD 225128,,,,,,,0.95974940893,0.61801054054,1.929,5.377,1.4766,677.231,pc,*,A9/F0V,,9.354037,11.22,9.85
643,HD 225139,,HD 225139,,,,,,,0.960766018,0.77566534065,-31.673,-14.321,4.6856,221.016,pc,*,F3/5V,,9.987289,10.556,10.108
644,HD 225127,,HD 225127,HIP 294,,,,,,0.91710088833,3.90697630249,-22.527,-11.465,6.749,148.17,pc,*,F0/2V,,7.801843,8.26,7.89
645,HD 225126,,HD 225126,HIP 298,,,,,,0.92702212859,13.36516899533,26.768,-8.758,2.9602,337.815,pc,*,K0,,7.90957,9.18,8.18
646,HD 225151,,HD 225151,HIP 308,,,,,,0.9837395547,14.37886550353,79.97,-21.195,12.8467,77.841,pc,PM*,F0,,7.028296,7.38,7.08
647,UGC    17,,,,,,,,,0.929659,15.217976,,,,20.3,Mpc,AG?,,,,14.8,14.19
648,HD 225149,,HD 225149,HIP 304,,,,,,0.96979537998,22.29605341967,0.314,-7.528,5.4146,184.686,pc,*,A2,,8.257994,8.41,8.26
649,HD 225138,,HD 225138,,,,,,,0.97053292234,20.92781963725,1.287,-6.121,1.4761,677.461,pc,*,K5,,7.91071,10.15,8.54
650,HD 225150,,HD 225150,HIP 314,,,,,,0.99164771851,20.95373338602,-30.34,-35.453,5.3955,185.34,pc,*,G0,,8.169074,8.81,8.28
651,NGC  7817,,,,,,NGC 7817,,,0.995413,20.752339,,,,33.2,Mpc,H2G,,11.3,,12.86,11.94
652,HD 225148,,HD 225148,,,,,,,0.98347470142,32.00986721098,-15.873,-14.183,7.1417,140.023,pc,*,F5,,8.832018,9.31,8.91
653,HD 225147,,HD 225147,HIP 311,,,,,,0.98763358799,36.9702527084,14.888,16.616,8.2447,121.29,pc,*,F0,,8.330143,8.89,8.44
654,HD 225125,,HD 225125,HIP 300,,,,,,0.93515607966,42.02352174696,75.647,9.948,7.6332,131.007,pc,PM*,A3,,7.407222,7.69,7.45
655,HD 225115,,HD 225115,,,,,,,0.91295921335,44.27633353935,-6.707,-8.604,2.5503,392.111,pc,*,A0,,8.789434,8.88,8.78
656,HD 225145,,HD 225145,,,,,,,0.942051437,-73.3184538018,11.814,-3.698,1.6566,603.646,pc,*,K0/1(III),,9.46272,10.9,9.75
657,HD 225177,,HD 225177,,,,,,,0.99016716152,-70.52619321363,29.583,-24.78,4.031,250.16,pc,*,F8/G0V,,9.92028,10.682,10.041
658,HD 225168,,HD 225168,HIP 315,,,,,,0.99222854229,-71.27872474885,11.393,-27.096,5.5338,185.217,pc,*,F8V,9.27,9.483769,10.259,9.62
659,HD 225135,,HD 225135,,,,,,,0.9245924275,-68.69038091607,8.812,1.394,7.7363,128.738,pc,*,F5V,,9.281142,9.87,9.636
660,HD 225134,,HD 225134,HIP 299,,,,,,0.9337069961,-63.60064952423,-9.422,0.348,8.886,112.537,pc,*,F5V,,8.33845,8.93,8.42
661,HD 225133,,HD 225133,HIP 293,,,,,,0.91601133533,-57.16446031778,25.031,-8.8,13.4374,74.419,pc,*,F6V,,8.18111,8.77,8.29
662,HD 225158,,HD 225158,HIP 306,,,,,,0.97541751,-57.8304994,148.16,-58.47,13.38,,,**,G2V,9.23,,9.88,9.51
663,HD 225158A,,HD 225158A,,,,,,,0.975465629,-57.830518133,154.1,-59.6,,,,PM*,,,,10.22,9.61
664,HD 225144,,HD 225144,,,,,,,0.94966971016,-54.99613943988,51.491,-1.579,6.1633,161.153,pc,PM*,F6V,,9.206,9.85,9.28
665,HD 225122,,HD 225122,HIP 289,,,,,,0.90237611624,-51.80910460872,9.228,-5.644,3.3082,302.279,pc,*,K0III,,8.423237,9.67,8.67
666,HD 225142,,HD 225142,,,,,,,0.94670287429,-47.87791885673,27.138,12.439,2.0791,464.054,pc,*,G8/K0,9.67,10.006384,11.179,10.18
667,HD 225143,,HD 225143,,,,,,,0.95900248596,-48.89502352455,45.539,12.069,3.5055,280.034,pc,*,F3/5V,,10.395741,10.918,10.391
668,HD 225157,,HD 225157,HIP 309,,,,,,0.98593379149,-45.28861460721,8.103,-7.249,3.067,326.052,pc,SB*,A6V,,8.496676,8.74,8.54
669,LEDA  739531,,,,,,,,,0.99366201815,-28.61554841336,-1.0,-3.9,,,,Sy2,,15.455,21.18884,16.472,13.3
670,2MASX J00035550-2849155,,,,,,,,,0.98124442948,-28.82107999997,1.6,-2.1,,,,G,,16.392,19.551237,17.653,15.33
671,2MASX J00033881-3128552,,,,,,,,,0.91160954064,-31.4818872438,5.3,1.2,,,,G,,16.598,19.729876,17.956,15.88
672,2dFGRS TGS433Z206,,,,,,,,,0.9910042,-31.0621022,-1.0,-7.9,,,,G,,16.761,,17.55,15.45
673,CTLGD 5680,,,,,,,,,0.93446772367,-30.12054694638,3.8,2.6,,,,G,,15.84,20.111063,17.28,14.37
674,HD 225167B,,HD 225167B,,,,,,,0.99233757811,-48.12471206151,22.675,8.869,9.06,110.375,pc,*,,,9.957284,10.93,10.25
675,2MASS J00035097-2827462,,,,,,,,,0.96234173537,-28.46293734361,17.3,-4.3,,,,G,,,20.253414,,15.02
676,HD 225158B,,HD 225158B,,,,,,,0.975282329,-57.830451533,154.1,-59.6,,,,PM*,,,,9.69,9.05
677,HD 225167A,,HD 225167A,,,,,,,0.9911959818375,-48.1251536500072,25.862,0.71,9.1883,108.834,pc,*,,8.851,8.102962,8.59,8.2
678,HD 225171,,HD 225171,,,,,,,1.03863352703,49.98831487091,-4.256,-0.069,0.6289,1590.078,pc,*,K2,,7.416115,9.29,7.84
679,HD 225172,,HD 225172,HIP 323,,,,,,1.04269470533,49.87018076874,-8.819,-10.928,4.989,200.441,pc,*,K0,,7.120844,8.38,7.36
680,HD 240488,,HD 240488,,,,,,,1.03083417971,56.03564916959,-4.89,-1.324,3.4503,289.83,pc,*,A2,,9.314318,9.55,9.27
681,HD 225190,,HD 225190,HIP 347,,,,,,1.08873282998,54.27459126333,7.961,-4.415,2.4699,404.875,pc,Pu*,B3V,,7.765633,7.7,7.79
682,HD 225170,,HD 225170,HIP 322,,,,,,1.03510509621,56.92098564006,-15.463,-7.886,4.0318,248.028,pc,*,G8IV,,7.377583,8.66,7.65
683,HD 240489,,HD 240489,HIP 334,,,,,,1.06383448294,60.1550138811,-5.005,-2.279,0.4804,2081.599,pc,*,B0,,8.743817,8.84,8.8
684,*   9 Cas,,HD 225180,HIP 330,HR 9100,,,,,1.05692688757,62.28766423081,-0.936,-0.263,1.3781,725.637,pc,*,A1II-III,,5.807129,6.154,5.884
685,HD 225160,,HD 225160,HIP 319,,,,,,1.01581027239,62.22194700024,-1.507,-1.798,0.3405,2936.858,pc,s*b,O8Iabf,,8.087064,8.46,8.19
686,LS   I +66    4,,,HIP 338,,,NGC 7822 7,,,1.0673434438,66.34912866365,-1.201,-4.268,0.9667,1034.447,pc,*,O9,,9.915233,12.11,10.79
687,V* V739 Cas,,HD 225179,HIP 336,,,,,,1.06663861371,65.15299026433,12.324,11.667,2.9917,334.258,pc,LP*,K5,,6.605076,9.3,7.65
688,HD 225178,,HD 225178,,,,,,,1.06530572571,75.43590677952,55.338,-21.082,9.9878,100.122,pc,PM*,F8,,8.725495,9.33,8.84
689,HD 225176,,HD 225176,,,,,,,1.0259599284,-44.05045353722,41.598,1.61,2.0438,472.45,pc,*,G8III,,8.921171,10.39,9.502
690,HD 225201,,HD 225201,HIP 340,,,,,,1.07386902602,-43.98844119705,6.788,-58.954,15.9163,62.829,pc,SB*,F6V,,7.998022,8.6,8.13
691,HD 225166,,HD 225166,HIP 318,,,,,,1.00964818381,-38.59475270459,-7.358,-2.664,1.9161,521.893,pc,*,G8/K0IV,,9.177074,10.48,9.4
692,HD 225189,,HD 225189,HIP 332,,,,,,1.06103389333,-34.41471127199,67.548,-23.825,7.4908,133.497,pc,PM*,F6V,,8.28682,8.96,8.4
693,HD 225188,,HD 225188,,,,,,,1.0433569216,-33.30168601407,-34.682,-14.141,3.061,326.691,pc,*,F3V,,9.686324,10.18,9.84
694,HD 225200,,HD 225200,HIP 345,HR 9102,,,,,1.08465468162,-29.26882230307,28.747,3.182,7.764,128.8,pc,*,A1V,,6.372489,6.4,6.39
695,HD 225206,,HD 225206,HIP 349,,,,,,1.09544725114,-29.38157170137,19.06,2.858,4.27,243.641,pc,*,B8/9V,,7.756221,7.71,7.74
696,HD 225187,,HD 225187,HIP 328,,,,,,1.04958654384,-30.13491110148,18.04,2.796,3.8528,259.551,pc,*,B8V,,7.066839,6.986,7.074
697,ESO 409-10,,,,,,,,,1.07227646869,-29.8889284765,-0.7,-5.8,,,,G,,14.52,20.984901,15.25,11.88
698,HD 225175,,HD 225175,HIP 321,,,,,,1.03297060604,-25.89266268925,110.726,-46.485,12.8149,78.034,pc,PM*,G2/3V,,8.802216,9.53,8.92
699,CD-27 16533,,,HIP 331,,,,,,1.05953476949,-26.95238643796,8.485,-14.506,0.4124,2271.14,pc,*,Gwl,10.32,10.479605,11.775,10.777
700,HD 225165,,HD 225165,,,,,,,1.00643899571,-22.50350683431,3.135,5.665,1.0885,866.626,pc,*,G6/8,,9.93538,11.007,10.182
701,HD 225199,,HD 225199,HIP 341,,,,,,1.07749594096,-23.25396005919,-0.998,-3.082,1.6616,601.83,pc,*,G8IV,,9.187622,10.5,9.42
702,HD 225164,,HD 225164,,,,,,,1.0095122281,-20.88241039499,-7.944,-29.85,4.4729,225.033,pc,*,F3/5(V),,10.169951,10.739,10.276
703,HD 225198,,HD 225198,HIP 342,,,,,,1.07904715561,-20.56887399801,30.699,-52.446,8.386,119.246,pc,PM*,G0V,,9.466019,10.099,9.64
704,HD 225186,,HD 225186,HIP 333,,,,,,1.06301090231,-17.42488589894,-13.263,-20.237,4.6597,217.538,pc,Er*,A1/2IV/V,9.644,9.019807,9.325,9.601
705,HD 225196,,HD 225196,,,,,,,1.08034843786,-15.83134125814,-52.569,-70.134,8.3091,120.35,pc,PM*,G3V,,9.475138,10.22,9.55
706,HD 225197,,HD 225197,HIP 343,HR 9101,,,,,1.08246173261,-16.52903661857,48.748,-60.925,9.5289,104.944,pc,HB*,K0III,,5.500603,6.872,5.769
707,HD 225195,,HD 225195,,,,,,,1.07942305985,-9.24973575929,1.336,4.468,2.2138,451.712,pc,*,K0III,,8.852097,10.19,9.17
708,HD 225185,,HD 225185,HIP 329,,,,,,1.05175726815,-10.14104407416,145.52,67.022,10.0215,99.785,pc,PM*,G6V,,9.673126,10.58,9.85
709,HD 225163,,HD 225163,,,,,,,1.01208015314,-6.98848076493,128.131,41.928,16.5041,58.552,pc,SB*,K1V,,9.230326,10.46,9.49
710,HD 225184,,HD 225184,HIP 327,,,,,,1.0462222208,-4.92610852726,24.135,-0.769,3.1696,294.704,pc,dS*,kA5hF1mF2(III-IV)EuBa,,9.498008,9.94,9.6
711,HD 225183,,HD 225183,,,,,,,1.0620104321,-0.00740865508,14.174,5.263,1.6308,599.643,pc,*,K2(III),,9.072343,10.848,9.629
712,HD 225174,,HD 225174,,,,,,,1.05142432297,-0.95721309094,-24.045,-26.898,4.8874,209.274,pc,*,G2/3V,,10.19652,10.868,10.284
713,2MASX J00042184+0105215,,,,,,,,,1.0909954611,1.08916787137,,,,,,EmG,,,19.175852,16.9,15.9
714,BD+10  5024,,,HIP 326,,,,,,1.04482502547,11.26437522912,-6.242,-4.822,0.888,1126.126,pc,SB*,M0,,8.039781,10.41,8.73
715,V* NN Peg,,HD 225161,HIP 316,,,,,,1.0010401359717,12.1457970779681,17.377,-15.164,5.3417,191.058,pc,dS*,F0,,7.202559,7.55,7.24
716,HD 225182,,HD 225182,HIP 335,,,,,,1.06607248865,14.08154194004,21.594,-33.824,4.4716,223.634,pc,*,A0,,8.843518,9.1,8.86
717,HD 225181,,HD 225181,HIP 324,,,,,,1.0424075499,17.43664213301,-53.423,-16.945,7.3079,136.838,pc,PM*,F5,,8.429687,8.97,8.5
718,HD 225193,,HD 225193,,,,,,,1.08478763361,22.56657169494,40.531,-39.738,9.1915,108.796,pc,PM*,F5,,8.060237,8.63,8.16
719,HD 225173,,HD 225173,HIP 325,,,,,,1.04396843259,39.11991410523,109.218,-93.669,13.6634,73.188,pc,SB*,F8,,8.422672,9.15,8.57
720,HD 225191,,HD 225191,,,,,,,1.07643435199,42.58652541273,11.342,-7.298,7.9034,126.528,pc,*,F7IV,,8.449701,9.06,8.58
721,HD 225169,,HD 225169,HIP 317,,,,,,1.00332719701,-80.39511330365,55.736,-18.236,5.6692,176.392,pc,PM*,F0III/IV,,7.862516,8.22,7.93
722,HD 225204,,HD 225204,,,,,,,1.07231984929,-73.03158035477,38.569,-21.372,4.2672,243.116,pc,*,F0III,,9.232148,10.179,9.628
723,HD 225203,,HD 225203,HIP 339,,,,,,1.0688178961,-59.31519183823,21.402,-4.519,3.5376,282.121,pc,*,A1V,,8.553114,8.61,8.56
724,CD-58  8681,,,HIP 350,,,,,,1.09913124863,-57.32269686855,-39.541,73.307,20.6324,48.377,pc,PM*,K5V,,10.008542,11.56,10.45
725,HD 225202,,HD 225202,HIP 346,,,,,,1.08806517757,-53.90943445615,62.058,19.912,5.7379,180.379,pc,PM*,K1III,,8.530388,9.84,8.81
726,PKS 0001-531,,,,,,,,,1.0617,-52.9108,,,,,,G,,,,,14.5
727,HD 225209,,HD 225209,,,,,,,1.09384712489,-48.80936068922,-17.098,-4.256,1.2212,818.867,pc,*,K1/2(III),,9.105427,10.76,9.48
728,LEDA  736498,,,,,,,,,1.08865334924,-28.86121624642,-8.1,-2.8,,,,Sy1,,16.065,21.906569,17.075,14.53
729,2MASX J00040889-2849135,,,,,,,,,1.03715608806,-28.82051640212,12.3,-0.9,,,,G,,15.991,20.66952,16.851,14.2
730,2MASX J00041070-2844405,,,,,,,,,1.04465743464,-28.74452700179,2.7,-2.9,,,,G,,16.427,20.32694,17.508,15.27
731,2MASX J00041280-2904455,,,,,,,,,1.05350712723,-29.07923141781,3.4,-1.2,,,,G,,16.227,19.276052,17.525,15.16
732,2MASX J00040917-3017507,,,,,,,,,1.03828396143,-30.29749206661,-0.0,-2.2,,,,G,,16.18,20.40566,17.292,14.78
733,2MASX J00042264-3126437,,,,,,,,,1.09431416962,-31.44537772477,5.8,2.3,,,,G,,15.946,20.227245,17.406,14.7
734,2dFGRS TGS277Z043,,,,,,,,,1.0005729,-28.7878167,6.6,-0.6,,,,G,,16.539,,17.275,15.09
735,2dFGRS TGS359Z197,,,,,,,,,1.0484525,-30.4536503,0.6,-3.8,,,,G,,16.723,,17.88,15.87
736,CTLGD 2827,,,,,,,,,1.043346,-30.671878,2.8,-7.3,,,,EmG,,16.6,,17.76,15.68
737,CTLGM 4704,,,,,,,,,1.0630748749,-29.37287972957,0.162,-1.393,,,,Sy2,,15.96,18.674477,17.41,14.32
738,V* NN Peg B,,HD 225161B,,,,,,,1.00100953275,12.14739215739,17.575,-15.618,5.3337,187.487,pc,*,,,10.440868,10.86,10.27
739,V* SV And,,HD 225192,HIP 344,,,,,,1.08364473881,40.10995392923,-0.794,-0.425,0.9045,1105.583,pc,Mi*,M5-7e,8.67,9.42012,11.78,11.53
740,TYC 5844-578-1,,,,,,,,,1.05822526783,-21.32115899388,-2.905,2.374,1.7655,566.412,pc,*,,,11.411864,12.74,11.38
741,CD-26 16890,,,HIP 337,,,,,,1.06693485493,-25.91544507341,-141.684,-189.111,12.0015,82.332,pc,PM*,,,9.398189,10.345,9.684
742,HD 225238,,HD 225238,,,,,,,1.18150753191,46.58989436807,8.136,4.257,1.9399,515.49,pc,*,A2,,9.502611,9.57,9.47
743,HD 236288,,HD 236288,HIP 354,,,,,,1.12334854863,51.82929095836,1.627,-5.622,1.8546,539.2,pc,*,K0,,8.950348,10.22,9.22
744,HD 236290,,HD 236290,,,,,,,1.16820010608,51.02832020013,36.783,17.241,2.9207,342.384,pc,*,K0,,8.508356,9.88,8.8
745,HD 225237,,HD 225237,HIP 381,,,,,,1.18522614328,51.53383585232,10.254,-6.156,2.8993,344.911,pc,*,A2,,8.712691,8.69,8.71
746,HD 240492,,HD 240492,,,,,,,1.16232907642,56.08162711447,-1.709,-0.777,0.9137,1094.451,pc,Pu*,B8,,9.804582,9.95,9.9
747,HD 236291,,HD 236291,,,,,,,1.18817515241,55.18273009,-1.958,0.689,2.3486,425.786,pc,SB*,K0,,8.60448,10.0,8.88
748,HD 236289,,HD 236289,,,,,,,1.15355735878,54.66209478801,13.429,-2.934,2.1521,464.662,pc,*,G5,,9.07671,10.3,9.33
749,HD 240490,,HD 240490,,,,,,,1.12342578898,58.71570377867,0.781,-10.483,1.7883,559.19,pc,*,K0,,9.068958,10.55,9.44
750,HD 240491,,HD 240491,,,,,,,1.1464679,58.5439297,24.635,25.668,2.9,,,*,K0,,9.047,10.52,9.45
751,HD 225216,,HD 225216,HIP 379,HR 9104,,,,,1.17492208688,67.16644512107,95.556,23.57,10.3544,96.577,pc,PM*,K1III,,5.396713,6.741,5.676
752,HD 225215,,HD 225215,,,,,,,1.18167885508,70.48550630865,34.866,4.574,4.3091,232.067,pc,*,K0,,7.552746,8.97,7.87
753,BD+71  1249,,,HIP 360,,,,,,1.14549197659,71.96853462987,-4.422,1.583,4.0716,245.604,pc,*,K2,,8.909842,10.56,9.41
754,CD-45 15233,,,HIP 353,,,,,,1.11183912977,-44.56725350655,225.053,22.931,9.5955,109.275,pc,SB*,,,11.307201,12.566,11.595
755,HD 225250,,HD 225250,,,,,,,1.16997520513,-42.03921917404,57.412,25.261,7.2505,137.176,pc,PM*,F7V,9.31,9.480295,10.083,9.6
756,HD 225266,,HD 225266,,,,,,,1.19741988335,-40.89983547518,-42.221,-54.879,5.5471,180.274,pc,PM*,G3V,,9.506282,10.24,9.62
757,HD 225229,,HD 225229,HIP 366,,,,,,1.15250299218,-31.16905400618,12.397,-1.349,1.74,574.713,pc,*,K1IV,,8.563841,10.14,8.89
758,HD 225207,,HD 225207,,,,,,,1.10825236705,-32.16327430492,17.277,6.07,2.4617,406.223,pc,*,K2III,,8.117582,9.66,8.46
759,HD 225249,,HD 225249,,,,,,,1.16302105291,-32.50893499776,-14.94,-61.817,0.9974,1002.607,pc,PM*,K0(III)+F/G,,9.566227,10.63,9.73
760,HD 225265,,HD 225265,HIP 382,,,,,,1.18810363296,-32.36104661448,-20.82,-9.766,5.935,169.519,pc,*,F0V,,8.973969,9.683,9.26
761,HD 225248,,HD 225248,,,,,,,1.17106046561,-28.85223035414,17.17,-24.916,3.6319,275.338,pc,*,K3III,,8.048304,9.7,8.41
762,ESO 409-11,,,,,,,,,1.163904,-28.460572,-0.0,-6.9,,,,EmG,,14.76,,15.66,12.27
763,ESO 409-12,,,,,,,,,1.17594727984,-30.48371775026,1.8,0.7,,99.08,Mpc,BiC,,12.23,17.995731,14.08,9.29
764,LEDA  132725,,,,,,,,,1.15396223553,-30.4315948941,1.4,-0.1,,,,Sy1,,14.816,19.86334,16.04,12.28
765,HD 225246,,HD 225246,,,,,,,1.18804720703,-25.44711078382,-14.245,-100.776,11.2607,89.117,pc,PM*,G3V,,9.082576,9.815,9.691
766,HD 225247,,HD 225247,,,,,,,1.18450530715,-27.26008698906,20.453,-4.734,4.2254,237.162,pc,*,F0V,,9.453542,9.938,9.599
767,HD 225228,,HD 225228,,,,,,,1.15326028218,-20.90603440675,-54.912,20.822,9.5147,104.823,pc,PM*,G6/8V,,9.819903,10.618,10.032
768,HD 225227,,HD 225227,HIP 362,,,,,,1.15061121406,-19.43789318749,-12.707,-12.372,2.2233,436.233,pc,*,K2III,,8.866352,10.324,9.16
769,HD 225226,,HD 225226,HIP 364,,,,,,1.15202438472,-15.88922929467,-4.933,-11.664,2.1211,471.453,pc,*,K0III,,8.950436,10.37,9.23
770,HD 225225,,HD 225225,,,,,,,1.14576504021,-12.28071563613,46.108,-7.558,2.8128,307.326,pc,*,K1/2IIICNII,,8.680002,10.071,8.95
771,HD 225205,,HD 225205,,,,,,,1.11667589166,-11.19029339164,18.18,-55.729,7.7846,128.459,pc,PM*,G8IV,,8.748105,9.71,8.95
772,*   3 Cet,,HD 225212,HIP 355,HR 9103,,,,,1.125492805,-10.5095235808,-6.85,-12.02,1.56,,,s*r,K3Ib,,4.3542,6.541,4.924
773,HD 225224,,HD 225224,HIP 373,,,,,,1.16598661599,-8.18495012592,2.685,-18.085,2.1451,466.179,pc,*,K3III,,8.213428,10.16,8.65
774,HD 225211,,HD 225211,HIP 356,,,,,,1.12566145976,-6.96543476697,-40.735,-13.827,11.6659,85.72,pc,*,G0V,,8.285202,9.02,8.42
775,HD 225245,,HD 225245,,,,,,,1.1865081432,-6.48674183575,-39.816,-13.038,4.4668,206.772,pc,*,F3V,,9.871394,10.443,10.101
776,HD 225223,,HD 225223,,,,,,,1.15164272123,-4.14584310394,36.292,-30.119,3.5621,280.733,pc,*,G5/6V,,9.945088,10.7,10.07
777,HD 225222,,HD 225222,,,,,,,1.17301472009,-1.05929409882,9.925,-11.369,5.2192,191.42,pc,*,F0V,,8.915022,9.34,8.99
778,HD 225244,,HD 225244,HIP 383,,,,,,1.18888046667,0.05649789922,7.579,4.98,5.1519,194.103,pc,*,F2/3V,,8.708163,9.24,8.82
779,HD 225210,,HD 225210,,,,,,,1.12558730303,2.26739835665,27.965,0.002,1.8334,545.435,pc,SB*,K5III,,7.910284,10.0,8.49
780,HD 225243,,HD 225243,HIP 384,,,,,,1.19280718667,1.53689281678,-21.924,-19.889,3.7435,267.13,pc,*,F2IV/V,,8.10546,8.53,8.18
781,HD 225221,,HD 225221,HIP 368,,,,,,1.15612499519,2.93722767111,20.405,1.372,3.5507,281.635,pc,*,K2/3III,,7.501494,9.16,7.9
782,HD 225242,,HD 225242,HIP 376,,,,,,1.17141185511,6.52245160934,-68.874,-54.905,4.8267,207.181,pc,SB*,K0,,8.128006,9.25,8.38
783,HD 225241,,HD 225241,HIP 378,,,,,,1.17193790964,14.9652337445,7.592,-42.055,9.4609,105.698,pc,*,F5IV,,7.271775,7.78,7.37
784,HD 225240,,HD 225240,HIP 380,,,,,,1.17814591382,17.06973677325,71.988,-17.816,7.6382,130.921,pc,PM*,G5,,8.366675,9.37,8.57
785,BD+28  4697,,,HIP 369,,,,,,1.15889773193,29.72227962751,-3.299,-7.088,1.9323,517.518,pc,*,K0,,9.065539,10.3,9.29
786,HD 225219,,HD 225219,,,,,,,1.16702736433,35.78732254952,10.3,-4.9,,,,**,F8,,9.073379,9.25,8.81
787,HIP 375,,,HIP 375,,,,,,1.16747788421,34.27217679054,-1.202,2.003,1.0247,975.895,pc,*,,9.29,8.914717,10.98,9.5
788,BD+37  4930,,,HIP 385,,,,,,1.19522014,38.17366914,21.23,-64.62,10.81,,,**,G5,9.3,,10.08,9.43
789,HD 225218,,HD 225218A,HIP 365,HR 9105,,,,,1.1524355234771,42.0925222706892,-10.367,-14.491,2.6043,,,**,A3Vs,7.3,6.11288,6.28,6.14
790,HD 225218B,,HD 225218B,,,,,,,1.15279979935,42.0910693691,-12.314,-16.129,4.4324,225.611,pc,*,F0V,,9.957388,9.85,9.62
791,V* SU And,,HD 225217,HIP 363,,,,,,1.15169795324,43.55131331618,-3.295,-2.203,0.7254,1378.55,pc,C*,C-N5,,7.071786,10.5,8.0
792,HD 225254,,HD 225254,HIP 367,,,,,,1.155634106,-81.34531816163,1.1,0.372,2.5468,374.438,pc,Pu*,A2/3IV,,9.073913,9.35,9.12
793,HD 225236,,HD 225236,HIP 359,,,,,,1.14569248323,-76.87363976065,173.082,-8.366,16.6982,59.887,pc,PM*,G3/5III/IV(w),,8.928816,9.74,9.09
794,HD 225235,,HD 225235,HIP 358,,,,,,1.13951073514,-76.34649145429,14.675,17.612,2.2303,448.37,pc,*,G8III,,8.663352,9.9,8.88
795,HD 225270,,HD 225270,,,,,,,1.18905806471,-73.14707160664,-0.653,5.633,1.7856,560.036,pc,*,K1/2(III),,9.229486,10.63,9.52
796,HD 225234,,HD 225234,,,,,,,1.14206651437,-73.8528624029,29.441,-11.254,4.7668,209.784,pc,*,A3V,,8.844379,9.06,8.87
797,HD 225287,,HD 225287,,,,,,,1.19719217745,-75.36216723237,8.027,0.653,1.4461,677.653,pc,*,K0,,9.906698,11.482,10.225
798,HD 225233,,HD 225233,HIP 357,HR 9106,,,,,1.12726778412,-72.89731547829,9.312,-37.981,10.8031,92.566,pc,*,F5V,,7.223693,7.75,7.31
799,HD 225252,,HD 225252,HIP 372,,,,,,1.16621268374,-70.40425885545,85.234,-17.244,4.6385,215.587,pc,PM*,K0/1III,,7.169578,8.54,7.46
800,HD 225231,,HD 225231,HIP 361,,,,,,1.14788155537,-71.69500480477,10.686,-2.524,2.6646,375.291,pc,*,K0III,,8.453687,9.76,8.73
801,HD 225253,,HD 225253,HIP 377,HR 9108,,,,,1.17211640081,-71.43689009672,30.282,-13.114,5.5803,179.202,pc,*,B8IV/V,,5.567911,5.477,5.585
802,HD 225232,,HD 225232,,,,,,,1.13405344736,-72.66076637655,5.953,-2.812,3.8507,259.693,pc,*,F7/8V,,9.118969,9.88,9.2
803,HD 225269,,HD 225269,,,,,,,1.18934996739,-68.83881240677,75.718,-5.318,11.1066,89.783,pc,PM*,G0V,,9.068145,9.79,9.526
804,HD 225214,,HD 225214,,,,,,,1.12074546232,-64.86161504212,22.954,-28.624,3.9316,261.088,pc,SB*,G8/K0,,10.015722,10.995,10.2
805,HD 225230,,HD 225230,,,,,,,1.13377377616,-64.17982927038,10.519,-5.815,2.3202,454.386,pc,*,F3IV/V,,10.105768,10.58,10.1
806,HD 225268,,HD 225268,,,,,,,1.18429450378,-56.84130487871,30.141,30.116,3.7752,264.887,pc,*,K0III,,7.503582,8.8,7.77
