MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
HD 224823,,HD 224823,,,,,,,0.245834855,-55.28399260612,23.728,26.262,5.7843,173.614,pc,*,F5/6(V),,10.325753,10.909,10.507
HD 224843,,HD 224843,,,,,,,0.28196491878,-52.4839204169,32.334,-24.815,3.0964,322.956,pc,*,G5/6,,9.057531,10.54,9.33
HD 224821,,HD 224821,HIP 75,,,,,,0.22327196692,-50.44645720894,28.76,3.261,2.0454,488.902,pc,*,K4III,,6.835586,8.94,7.4
* tau Phe,,HD 224834,HIP 88,HR 9081,,,,,0.26909537663,-48.80987438889,-17.506,-6.325,6.6758,149.795,pc,*,G6/8III,,5.489142,6.62,5.698
HD 224835,,HD 224835,,,,,,,0.2612,-49.3256,,,,,,**,K0/1(III),,,12.0,10.2
2MASX J00010526-2822125,,,,,,,,,0.27201594651,-28.37013774602,-0.9,-1.6,,,,G,,15.575,20.131033,16.695,13.55
LEDA  143156,,,,,,,,,0.22814284643,-28.46328658645,0.4,6.2,,,,G,,15.388,20.183617,16.672,13.38
2MASX J00004984-2858430,,,,,,,,,0.2078366676,-28.97863564138,2.6,-2.3,,,,G,,16.595,19.515913,18.056,15.89
2MASX J00005591-2834140,,,,,,,,,0.233000027,-28.57062890406,-1.4,-4.8,,,,G,,16.382,20.675364,17.749,15.36
2MASX J00005301-3032480,,,,,,,,,0.22091748724,-30.54675173988,-0.2,-1.3,,,,G,,15.95,19.058283,17.421,14.7
2dFGRS TGS276Z133,,,,,,,,,0.2813263,-29.0216703,-0.1,4.4,,,,G,,16.64,,17.604,15.46
2MASX J00005307-3007140,,,,,,,,,0.22117602503,-30.12058850528,1.0,-1.4,,,,G,,15.22,19.856783,16.56,13.06
HD 224872,,HD 224872,,,,,,,0.3291574694,46.73194840287,4.537,-1.799,2.0733,482.323,pc,Pe*,B9.5IIIHgMn,,8.29855,8.31,8.31
HD 224871,,HD 224871,,,,,,,0.35534287735,47.94274863921,56.041,3.322,3.6246,275.893,pc,PM*,G5,,8.811275,9.43,8.93
HD 224870,,HD 224870,HIP 106,HR 9083,,,,,0.33021415894,49.98155694127,13.16,-11.451,4.1155,242.984,pc,*,G7II-III,,5.971371,7.185,6.217
HD 224881,,HD 224881,HIP 113,,,,,,0.36561015319,49.01040425444,-0.872,-3.16,1.3562,737.354,pc,*,A0,,8.935367,8.95,8.92
HD 236277,,HD 236277,,,,,,,0.31304971901,53.20504788059,-0.15,-3.54,1.2128,824.538,pc,*,K7,,7.9795,10.36,8.69
HD 224868,,HD 224868,,,,,,,0.34008491254,60.83920144724,-0.107,-1.057,1.2651,790.451,pc,*,B0Ib,,7.245332,7.387,7.291
HD 224869,,HD 224869,,,,,,,0.34846861561,60.3554711117,2.078,-3.7,1.0892,918.105,pc,Em*,B2ne,,8.252891,8.34,8.33
V* WZ Cas,,HD 224855,HIP 99,,,,,,0.31606997761,60.35528497784,10.693,-5.672,2.1227,471.098,pc,C*,C-N7III:,,5.678268,9.47,7.13
HD 224891,,HD 224891,HIP 123,,,,,,0.39989366015,72.23661595175,-43.768,4.001,5.8049,172.268,pc,*,K0,,6.887612,8.37,7.21
HD 224854,,HD 224854,HIP 105,,,,,,0.32780398778,70.9289390618,-5.247,-7.698,3.3918,294.829,pc,*,F0,,7.58745,8.15,7.74
HD 224880,,HD 224880,,,,,,,0.37551622418,73.30817911906,32.179,-3.841,4.8828,204.801,pc,*,F5,,8.915193,9.39,8.98
HD 224850,,HD 224850,HIP 102,,,,,,0.32048834111,-41.48743749799,17.43,-33.819,3.3415,299.267,pc,*,M1III,,6.346911,8.592,7.043
2MASX J00012242-3845212,,,,,,,,,0.3434611653,-38.75587534308,,,,,,BiC,,,19.334827,15.55,14.53
HD 224886,,HD 224886,HIP 116,,,,,,0.37532503132,-33.79277204125,-24.983,-23.602,7.7394,129.209,pc,*,F3V,,8.504671,9.01,8.59
HD 224863,,HD 224863,HIP 104,,,,,,0.32665108309,-31.89963863186,-34.642,2.298,7.8244,127.805,pc,*,F7V,,9.194883,9.87,9.31
HD 224862,,HD 224862,,,,,,,0.33846717444,-28.72501893315,-42.08,-16.126,5.5728,179.443,pc,*,K0III,,6.821788,8.21,7.1
LEDA  132702,,,,,,,,,0.39025789825,-28.41845609951,-2.2,-3.0,,,,Sy2,,15.121,20.503504,16.148,12.7
LEDA  198753,,,,,,,,,0.399608,-29.615442,-15.5,5.3,,,,EmG,,14.63,,15.65,11.7
2MASX J00011469-2910406,,,,,,,,,0.31133039732,-29.17795943974,-0.7,-0.6,,,,G,,,20.34658,,13.98
2MASX J00012431-2908476,,,,,,,,,0.35131892454,-29.14654542707,-8.9,1.2,,,,G,,,21.00952,,14.62
HD 224849,,HD 224849,HIP 97,,,,,,0.30737351661,-21.40404148949,15.29,1.658,5.9341,167.044,pc,*,F5V,,9.373844,9.951,9.48
HD 224885,,HD 224885,,,,,,,0.38585485369,-22.14125686297,23.68,10.794,1.9428,521.122,pc,*,G8IV,,9.626614,10.946,9.951
HD 224848,,HD 224848,,,,,,,0.30818280076,-19.00933282941,-13.566,-48.385,1.7564,594.844,pc,PM*,G8IV,,9.282364,10.529,9.861
HD 224884,,HD 224884,,,,,,,0.39408573986,-19.14236285614,0.905,-3.956,0.9104,1030.47,pc,*,G8(III),,9.436605,10.777,9.914
HD 224847,,HD 224847,HIP 95,,,,,,0.30200710145,-11.96404647003,-10.323,-12.813,6.6788,146.563,pc,*,F5V,,8.553936,9.507,9.191
HD 224861,,HD 224861,,,,,,,0.32575039299,-8.92629184132,2.432,9.437,3.7225,275.051,pc,*,F5V,10.082,9.82388,10.42,9.98
HD 224883,,HD 224883,HIP 118,,,,,,0.38660093698,-9.4300316882,46.219,1.093,12.6188,78.418,pc,*,F7V,,9.066768,9.78,9.22
HD 224860,,HD 224860,,,,,,,0.33364962079,-2.56487159715,-5.856,-17.01,2.1005,496.266,pc,*,K1(III),,9.653075,11.072,10.03
HD 224898,,HD 224898,,,,,,,0.39679581309,-0.13795247456,21.128,-6.376,1.3875,684.176,pc,RB?,K0/1(III),,9.82338,11.169,10.136
HD 224859,,HD 224859,,,,,,,0.34584286003,-1.62138425648,55.488,9.144,10.6816,93.342,pc,PM*,K0/1(III),,10.244552,11.19,10.41
HD 224846,,HD 224846,,,,,,,0.31357003807,-2.34055449342,-18.127,-56.406,3.1578,312.144,pc,PM*,G8IV,,8.805856,10.046,9.538
HD 224845,,HD 224845,,,,,,,0.30597298236,2.51819304443,-42.33,-23.42,4.5479,219.882,pc,*,F6/8,,9.945115,10.49,9.97
HD 224876,,HD 224876,,,,,,,0.36507734332,0.30159271301,-17.612,-2.327,2.0757,470.791,pc,*,G8III,,8.93975,10.205,9.23
HD 224858,,HD 224858,,,,,,,0.3335704746,7.70163589478,-35.293,-71.273,6.9569,143.742,pc,PM*,F8,,9.338067,9.99,9.41
V* DR Psc,,HD 224875,HIP 109,,,,,,0.34659811829,6.79147088775,-1.483,-8.273,5.2472,190.578,pc,dS*,F0,,7.142595,7.59,7.21
BD+13  5195A,,,HIP 96,,,,,,0.30498761875,13.97507647195,15.608,150.05,27.3406,36.576,pc,PM*,M0.5V,10.05,9.923772,11.69,10.26
HD 224844,,HD 224844,HIP 100,,,,,,0.31637263435,19.74124862213,-25.083,-34.072,2.4495,408.247,pc,*,G0,,8.200515,9.31,8.44
HD 224882,,HD 224882,HIP 114,,,,,,0.37164019,30.73578477,-12.73,-38.83,8.49,,,**,G0IV,8.685,,8.82,8.449
