MAIN_ID,ID_name,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PLX_VALUE,OTYPE_otypes,FLUX_V
NGC  2571,,,NGC 2571,,,124.723,-29.775,0.732,OpC,7.0
NGC  2567,,,NGC 2567,,,124.645,-30.631,0.542,OpC,7.4
Cl Collinder  185,,,,,,125.833,-36.349,0.626,OpC,7.8
NGC  2627,,,NGC 2627,,,129.309,-29.952,0.521,OpC,8.4
V* T Cnc,,,,,,134.16723996003,19.84914442982,1.039,C*,7.6
NAME Fornax Dwarf Spheroidal,NAME Fornax de,,,,,39.9971,-34.4492,,G,7.4
NGC    55,,,NGC 55,,,3.723342,-39.196628,,GiG,7.87
NGC   300,,,NGC 300,,,13.72269401596,-37.68421344511,0.0206,GiG,8.13
NAME Sculptor Dwarf Galaxy,NAME Sculptor de,,,,,15.0392,-33.7089,,G,8.6
ESO 471-49,,,,,,359.36908509222,-29.04763127545,,EmG,8.75
M  30,,M 30,NGC 7099,,,325.09217,-23.17986,0.136,GlC,7.1
NGC   288,,,NGC 288,,,13.1885,-26.58261,0.141,GlC,8.13
* omi Cet,NAME Mira,,,,,34.83663376,-2.97763767,10.91,Mi*,6.53
M   2,,M 2,NGC 7089,,,323.36258,-0.82325,0.082,GlC,6.25
M  77,,M 77,NGC 1068,,,40.66962152892,-0.01329435839,,Sy2,8.87
BD+22  4839,,,,,,352.01324831137,23.57526829653,2.7903,*,8.889
C 0147+270,,,,,OCl 371,27.54,27.115,,Cl*,8.2
M  33,NAME Triangulum Galaxy,M 33,NGC 598,,,23.46206906218,30.66017511198,,GiG,5.72
M  32,,M 32,NGC 221,,,10.67427,40.86517,,GiG,8.08
M  31,NAME Andromeda,M 31,NGC 224,,,10.684708,41.26875,6.0,AGN,3.44
M 110,,M 110,NGC 205,,,10.09190514583,41.68541867226,,GiG,8.07
NGC  7063,,,NGC 7063,,,321.122,36.507,1.477,OpC,7.0
HD  86900,,,,,,150.4299266308,2.29123424449,2.3756,*,8.708
HD  87035,,,,,,150.63118627062,1.82361128506,6.9658,*,8.16
HD  87789,,,,,,151.87056718006,-0.25686737776,2.6444,*,8.87
M  66,,M 66,NGC 3627,,,170.0626,12.9915,,GiP,8.92
NGC  3680,,,NGC 3680,,,171.392,-43.24,0.933,OpC,7.6
ESO 439-24,,,,,,175.279937,-28.700858,,EmG,8.9
M  86,NAME FAUST V051,M 86,NGC 4406,,,186.549225,12.945969,,GiG,8.9
M  87,NAME M 87*,M 87,NGC 4486,,,187.70593076725,12.39112324608,,AGN,8.63
C 1232+365,,,,,,188.754,36.372,,OpC,6.3
M 104,NAME Sombrero,M 104,NGC 4594,,,189.99763274592,-11.62305449444,,LIN,8.0
M  68,,M 68,NGC 4590,,,189.86658,-26.74406,0.113,GlC,7.96
M  94,,M 94,NGC 4736,,,192.72114082143,41.12025024573,,SyG,8.24
M  64,NAME Black Eye Galaxy,M 64,NGC 4826,,,194.182067,21.682658,,SyG,8.52
M  63,NAME Sunflower Galaxy,M 63,NGC 5055,,,198.9553091224699,42.02936891003,0.0147,LIN,8.59
M  53,,M 53,NGC 5024,,,198.23021,18.16817,0.067,GlC,7.79
M  83,NAME Southern Pinwheel Galaxy,M 83,NGC 5236,,,204.25383,-29.86576111,,SBG,7.52
M   3,,M 3,NGC 5272,,,205.54842,28.37728,0.11,GlC,6.39
MCG+02-37-031,,,,,,220.57101597609,8.99647873954,,GiP,7.0
NGC  5986,,,NGC 5986,,,236.5125,-37.78642,0.111,GlC,6.92
NGC  6124,,,NGC 6124,,,246.332,-40.661,1.557,OpC,5.8
C 1652-407,,,,,OCl 998.0,253.87498,-40.83333,,OpC,3.4
Cl Trumpler   24,,,,,OCl 999.0,254.25,-40.667,,OpC,8.6
Cl Harvard   17,,,,,OCl 1009.0,265.347,-40.158,0.673,OpC,7.5
C 1727-370,,,,,,262.7,-37.08,,Cl*,8.9
Cl Collinder  338,,,,,OCl 1013.0,264.483,-37.657,1.521,OpC,8.0
NGC  6400,,,NGC 6400,,,265.062,-36.957,0.797,OpC,8.8
Cl Bochum   13,,,,,,259.333,-35.529,0.567,OpC,7.2
NGC  6396,,,NGC 6396,,OCl 1018,264.399,-35.013,0.353,OpC,8.5
Cl Trumpler   30,,,,,,269.182,-35.298,0.707,OpC,8.8
Cl Trumpler   27,,,,,OCl 1021,264.083,-33.517,,OpC,6.7
Cl Antalova    2,,,,,,262.462,-32.541,0.842,OpC,8.8
NGC  6425,,,NGC 6425,,,266.733,-31.507,0.987,OpC,7.2
NAME SDG,NAME SDG,,,,,283.7629,-30.4783,,G,3.6
M  55,,M 55,NGC 6809,,,294.99879,-30.96475,0.209,GlC,6.49
* alf Sco,NAME Antares,,,,,247.35191542,-26.43200261,5.89,s*r,0.91
Cl Collinder  347,,,,,OCl 1039,266.595,-29.325,,OpC,8.8
NGC  6451,,,NGC 6451,,,267.675,-30.206,0.304,OpC,8.2
NGC  5897,,,NGC 5897,,,229.35167,-21.01011,0.105,GlC,8.52
* sig Sco,NAME Alniyat,,,,,245.2971488058,-25.5927920767,4.68,bC*,2.89
M  19,,M 19,NGC 6273,,,255.65704,-26.26794,0.142,GlC,5.57
NGC  6284,,,NGC 6284,,,256.119779,-24.764228,0.098,GlC,7.43
NGC  6520,,,NGC 6520,,,270.856,-27.884,0.556,OpC,7.6
NGC  6235,,,NGC 6235,,,253.35567,-22.17744,0.089,GlC,7.2
NGC  6546,,,NGC 6546,,,271.842,-23.297,,OpC,8.0
C 1806-240,,,,,OCl 22.0,272.462,-23.828,,OpC,6.4
M  75,,M 75,NGC 6864,,,301.520171,-21.922261,0.069,GlC,8.26
NGC  6469,,,NGC 6469,,,268.277,-22.3,0.587,OpC,8.2
NGC  6568,,,NGC 6568,,OCl 28.0,273.192,-21.612,0.936,OpC,8.6
Cl Trumpler   33,,,,,,276.159,-19.711,0.677,OpC,7.8
NGC  6716,,,NGC 6716,,,283.616,-19.888,1.405,OpC,7.5
Cl Collinder  394,,,,,OCl 42.0,283.092,-20.229,1.388,OpC,6.3
M   9,,M 9,NGC 6333,,,259.79908,-18.51625,0.135,GlC,8.42
NGC  6356,,,NGC 6356,,,260.89579,-17.81303,0.096,GlC,7.42
NGC  6647,,,NGC 6647,,,277.868,-17.34,,Cl*,8.0
NGC  6645,,,NGC 6645,,,278.158,-16.918,0.543,OpC,8.5
M  72,,M 72,NGC 6981,,,313.36542,-12.53731,0.084,GlC,8.96
NGC  6605,,,NGC 6605,,,274.2482,-15.0111,,Cl*,6.0
NGC  6822,NAME Barnard's Galaxy,,NGC 6822,IC 4895,,296.234163,-14.797581,,G,8.1
NGC  6649,,,NGC 6649,,OCl 66,278.359,-10.399,0.467,OpC,8.9
Cl Trumpler   34,,,,,,279.935,-8.439,0.305,OpC,8.6
M  26,,M 26,NGC 6694,,OCl 67,281.317,-9.386,0.524,OpC,8.87
GCl 114,,,,,,296.31,-8.00722,0.109,GlC,7.54
NGC  6664,,,NGC 6664,,OCl 68.0,279.125,-8.194,0.468,OpC,7.8
Cl Apriamaswili    1,,,,,OCl 77.0,282.036,-5.876,0.525,OpC,8.9
NGC  6705,NAME Amas de l'Ecu de Sobieski,M 11,NGC 6705,,OCl 76.0,282.766,-6.272,0.427,OpC,5.8
M  10,,M 10,NGC 6254,,,254.28771,-4.10031,0.196,GlC,4.98
M  14,,M 14,NGC 6402,,,264.40063,-3.24592,0.129,GlC,5.73
M  12,,M 12,NGC 6218,,,251.80908,-1.94853,0.208,GlC,6.07
M   5,,M 5,NGC 5904,,,229.63842,2.08103,0.141,GlC,5.95
Cl Collinder  350,,,,,,267.018,1.525,2.708,OpC,6.1
NGC  6755,,,NGC 6755,,OCl 96,286.942,4.224,0.376,OpC,7.5
NGC  6709,,,NGC 6709,,OCl 100.0,282.836,10.334,0.911,OpC,6.7
NGC  6738,,,NGC 6738,,OCl 101.0,285.32,11.62,,OpC,8.3
Cl Collinder  399,NAME Coathanger,,,,OCl 113.0,291.35,20.18,,Cl*,3.6
NGC  6802,,,NGC 6802,,,292.651,20.262,0.309,OpC,8.8
LBN 055.73-03.64,,,,,,297.282,18.3847,,HII,8.76
Cl Collinder  408,,,,,OCl 116.0,298.321,18.345,0.461,OpC,7.7
Cl Stock    1,,,,,OCl 127.0,294.146,25.163,2.447,OpC,5.3
NGC  6823,,,NGC 6823,,OCl 124,295.794,23.321,0.446,OpC,7.1
NGC  6830,,,NGC 6830,,OCl 125,297.718,23.101,0.424,OpC,7.9
NGC  6885,,,NGC 6885,,OCl 132.0,303.004,26.478,0.439,OpC,8.1
NGC  6834,,,NGC 6834,,OCl 134,298.052,29.399,0.272,OpC,7.8
HD 190603,,,,,,301.15072617721,32.21859814806,0.5098,s*b,5.65
M  13,NAME Hercules Globular Cluster,M 13,NGC 6205,,,250.423475,36.461319,0.127,GlC,5.8
NAME del Lyr Cluster,NAME del Lyr Cluster,,,,OCl 137.0,283.568,36.899,2.779,OpC,3.8
NGC  6871,,,NGC 6871,,OCl 148,301.548,35.765,0.514,OpC,5.2
NGC  6883,,,NGC 6883,,OCl 152,302.829,35.832,,OpC,8.0
M  92,,M 92,NGC 6341,,,259.28079,43.13594,0.112,GlC,6.52
NGC  6819,NAME Foxhead Cluster,,NGC 6819,,,295.327,40.19,0.356,OpC,7.3
Cl Basel    6,,,,,OCl 157.1,301.673,38.365,,OpC,7.7
M  29,,M 29,NGC 6913,,OCl 168,305.943,38.487,0.553,OpC,6.6
ESO 313-13,,,,,OCl 742,131.202,-41.28,1.034,OpC,6.7
NGC  1269,,,NGC 1269,,,49.32741063948,-41.10795242644,,EmG,8.81
Cl Pismis    4,,,,,OCl 746,128.79,-44.407,1.414,OpC,5.9
Cl Bochum    7,,,,,,131.14,-45.951,0.4496,OpC,6.8
NGC  2660,,,NGC 2660,,,130.667,-47.201,0.308,OpC,8.8
Cl Waterloo    6,,,,,,130.1,-46.1333,,OpC,8.4
HD  73589,,,,,,129.312390079,-47.19885204129,1.4648,*,8.89
IC 2395,,,,IC 2395,,130.531,-48.09,1.379,OpC,4.6
NGC  2670,,,NGC 2670,,,131.386,-48.801,0.647,OpC,7.8
NGC  2669,,,NGC 2669,,,131.611,-52.931,0.845,OpC,6.1
AM 0311-513,,,,,,48.2,-51.3,,G,7.8
NGC  1261,,,NGC 1261,,,48.06754,-55.21622,0.068,GlC,8.63
NGC  2910,,,NGC 2910,,OCl 781,142.643,-52.913,0.746,OpC,7.2
NGC  2925,,,NGC 2925,,OCl 783.0,143.321,-53.413,1.295,OpC,8.3
Cl Ruprecht   82,,,,,,146.421,-54.004,0.43,OpC,8.1
Cl Pismis   16,,,,,OCl 790,147.812,-53.172,0.356,OpC,8.0
NGC  3033,,,NGC 3033,,,147.145,-56.415,0.532,OpC,8.8
NGC  2070,NAME Tarantula,,NGC 2070,,,84.675,-69.1,,Cl*,7.25
NGC  2055,,,NGC 2055,,,84.183,-69.498,,As*,8.39
LH 105,,,,,,84.975,-69.748,,As*,8.73
LH 103,,,,,,84.987,-69.66,,As*,8.09
LH 111,,,,,,85.538,-69.21,,As*,8.94
RMC 136,,,,,,84.67665,-69.100933,,Cl*,5.4
NGC  1968,,,NGC 1968,,,81.846,-67.472,,As*,8.22
NGC  1955,,,NGC 1955,,,81.55,-67.498,,As*,8.87
NGC  1850,,,NGC 1850,,,77.209125,-68.759903,,Cl*,8.96
LH  58,,,,,,81.688,-68.832,,As*,7.96
NGC  2014,,,NGC 2014,,,83.1,-67.688,,As*,8.97
NAME LMC,NAME LMC,,,,,80.8942,-69.7561,,G,0.4
HD   8411,,,,,,20.59511406485,-47.29489535877,6.7958,PM*,8.79
NGC  3330,,,NGC 3330,,,159.659,-54.148,0.552,OpC,7.4
NGC  3247,,,NGC 3247,,OCl 809.0,156.465,-57.927,,OpC,7.6
Cl Trumpler   11,,,,,OCl 808,151.248,-61.619,0.248,OpC,8.1
Cl Collinder  217,,,,,,151.621,-60.29,0.253,OpC,8.8
NGC  3114,,,NGC 3114,,OCl 802.0,150.553,-60.041,0.954,OpC,4.2
HD  91533,,,,,,158.19920533311,-58.66674415521,0.4105,*,6.006
HD  92061,,,,,,159.099678,-58.952485,,Be*,8.95
C 1033-598,,,,,,158.9404,-60.1261,,OpC,6.3
IC 2581,,,,IC 2581,OCl 811.0,156.867,-57.626,0.352,OpC,4.3
HD  92207,,,NGC 3324 1,,,159.3627838715,-58.73333781697,0.4675,sg*,5.45
Cl Trumpler   14,,,,,,160.986,-59.553,0.385,OpC,5.5
Cl Trumpler   17,,,,,,164.108,-59.23,0.375,OpC,8.4
V* AG Car,,,,,,164.04824225602,-60.45355852035,0.1925,WR*,6.96
Cl Bochum   10,,,,,,160.5592,-59.1456,0.378,OpC,6.2
Cl Ruprecht   92,,,,,,163.446,-61.75,,OpC,8.6
Cl Feinstein    1,,,,,,166.68,-59.82,,OpC,4.7
Cl Hogg   11,,,,,OCl 849,167.883,-60.372,,OpC,8.1
Cl Hogg   12,,,,,OCl 851.0,168.083,-60.755,,OpC,8.8
Cl Collinder  240,,,,,OCl 848.0,167.91667,-60.30972,,OpC,3.9
NGC  3496,,,NGC 3496,,,164.877,-60.335,0.391,OpC,8.2
Cl Sher    1,,,,,OCl 837,165.262,-60.233,0.11,OpC,8.8
Cl Ruprecht   93,,,NGC 3519,,OCl 844.0,166.037,-61.372,0.436,OpC,7.7
HD  96548,,,,,,166.57168014651,-65.50978921723,0.3572,WR*,7.7
NGC  3766,,,NGC 3766,,OCl 860.0,174.061,-61.616,0.459,OpC,5.3
Cl Melotte  105,,,,,,169.92,-63.486,0.407,OpC,8.5
IC 2714,,,,IC 2714,,169.373,-62.719,0.719,OpC,8.2
NAME SMC,NAME SMC,,NGC 292,,,13.1583,-72.8003,,G,2.2
NGC   362,,,NGC 362,,,15.80942,-70.84878,0.114,GlC,6.58
NGC  3960,,,NGC 3960,,,177.644,-55.679,0.4,OpC,8.3
NGC  3918,,,NGC 3918,,,177.57404562706,-57.18250480623,0.2195,PN,8.5
Cl Stock   14,,,,,OCl 865,175.925,-62.537,0.385,OpC,6.3
NGC   104,NAME 47 Tuc Cluster,,NGC 104,,,6.022329,-72.081444,0.232,GlC,4.09
NGC  4103,,,NGC 4103,,OCl 871,181.628,-61.245,0.473,OpC,7.4
