MAIN_ID,ID_name,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PLX_VALUE,OTYPE_otypes,FLUX_V
GNB 12,,,,,,162.696,0.362,,G,14.02
NGC  3534,,,NGC 3534,,,167.232042,26.610344,,EmG,14.04
ATO J167.6183+00.1029,,,,,,167.61848412803,0.10296366091,1.0717,V*,14.019
UCAC4 449-051309,,,,,,169.84189240457,-0.2065697718,0.8415,*,14.029
ESO 439-3,,,,,,170.4662,-31.2375,,G,14.03
UCAC4 451-052340,,,,,,176.49007459365,0.0917988283,3.7308,V*,14.04
UCAC4 450-051924,,,,,,177.1355738263,-0.0503133895,2.1741,*,14.045
NGC  4135,,,NGC 4135,,,182.28670394111,44.00314578883,,Sy2,14.02
UGC  7064,,,,,,181.18052087216,31.17727299947,0.22,Sy2,14.01
VV  415,NAME SYPHON,,,,,185.48880437316,-43.33467601329,,Sy1,14.02
UCAC4 449-052875,,,,,,185.73871,-0.27022,,**,14.013
NGC  4748,,,NGC 4748,,,193.05193788945,-13.41479500554,,Sy1,14.03
NGC  4850,,,NGC 4850,,,194.5909743710699,27.96778466909,0.1973,AGN,14.03
IC 3990,,,,IC 3990,,194.91294774847,28.89553928797,,GiP,14.0
IC 3959,,,,IC 3959,,194.78421742059,27.78415147826,,GiG,14.03
2MASX J12590180+2813309,,,,,,194.75754573949,28.22533014981,,AGN,14.01
IC 3973,,,,IC 3973,,194.87842956411,27.88420618177,,AG?,14.03
IC 4042,,,,IC 4042,,195.17816482645,27.97127198246,,AGN,14.01
ESO 269-56,,,,,,197.5071647583,-43.21207070396,0.5907,AG?,14.01
FASTT  591,,,,,,205.0485967560699,0.03849546575,0.2182,RR*,14.0
[L2004] n5236-896,,,,,,204.25367,-29.86531,,Cl*,14.01
NGC  5291,,,NGC 5291,,,206.85208344242,-30.4070692905,,Sy2,14.0
GPM 219.277339-00.243967,,,,,,219.2776450764,-0.24382163555,0.5092,*,14.0
GPM 219.541923-00.161844,,,,,,219.54183264093,-0.16204401729,0.3468,*,14.0
PN H  1-3,,,,,,253.38054,-42.65633,,PN,14.0
EM* AS  217,,,,,,256.84056060443,-34.08734354467,0.3777,Sy*,14.0
PN H  1-13,,,,,,262.11491586384,-35.12544506418,0.5911,PN,14.0
PN H  1-12,,,,,,261.60124298303,-35.02816066206,0.1491,PN,14.0
PN PC   13,,,,,,252.57129,-30.33208,,PN,14.0
PN H  1-62,,,,,,273.32483487063,-32.32858479913,0.0475,PN,14.0
QSO B1514-24,,,,,,229.42422252076,-24.37207839084,0.1381,BLL,14.0
PN M  2-11,,,,,,260.13862,-29.01086,,PN,14.0
PN Th  3-20,,,,,,262.27584415311,-29.72155577676,0.0717,Sy*,14.0
PN M  1-29,,,,,,267.5748575606836,-30.581941078115,,PN,14.0
PN M  1-42,,,,,,272.77079,-28.98308,,PN,14.0
Haro 1-6,,,,,,246.51261528506,-24.39338559468,7.3439,Or*,14.01
PN M  3-39,,,,,,260.29787,-27.19342,,PN,14.0
PN M  2-30,,,,,,273.14333,-27.96958,,PN,14.0
UCAC4 347-077201,,,,,,241.99149950903,-20.66908395964,7.3145,Em*,14.007
QSO B1725-142,,,,,,262.0824556248999,-14.26551525508,,QSO,14.03
PMN J1732+0154,,,,,,263.0191613,1.9081811,,rG,14.0
SH  2-71,,,,,,285.50118742649,2.15304923096,0.6248,PN,14.0
PKS 1834+19,,,,,,279.165254,19.729286,,rG,14.0
Mrk  700,,,,,,255.81548347547,31.45793198697,,LIN,14.04
EM* AS  200,,,,,,127.11648804555,-39.39445585129,0.2027,PN,14.0
EM* AS  204,,,,,,133.37867242875,-40.06188325013,,PN,14.0
GSF   6,,,,,,58.521,-43.398,,G,14.0
IRAS 08534-4231,,,,,,133.81851476817,-42.72004905773,0.4624,Em*,14.0
Ve 7-26,,,,,,130.86706628506,-46.11109902221,,PN,14.0
2MASX J06002140-5756210,,,,,,90.08940987105,-57.93932234405,,Sy2,14.0
ESO 121-3,,,,,,90.51384,-60.52379,,Cl*,14.04
PKS 0136-427,,,,,,24.6688,-42.5214,,G,14.0
WRAY 17-35,,,,,,145.21958,-56.96583,,PN,14.0
WRAY 16-49,,,,,,142.72958,-57.61389,,PN,14.0
NGC  1842,,,NGC 1842,,,76.828458,-67.27195,,Cl*,14.02
KMHK 1760,,,,,,98.254,-71.128,,Cl*,14.04
IC 1655,,,,IC 1655,,17.97488,-71.33011,,Cl*,14.0
WRAY 16-86,,,,,,169.42981747553,-70.82560160605,0.2922,PN,14.0
OGLE-CL SMC 45,,,,,,12.01187,-73.48828,,OpC,14.0
IC 1662,,,,IC 1662,,18.13888,-73.45628,,Cl*,14.03
LIN 137,,,,,,12.425779,-72.812569,,Em*,14.0
[H86]  68,,,,,,10.65838,-72.45728,,Cl*,14.02
NGC  4071,,,NGC 4071,,,181.0612563840599,-67.310127293,0.3758,PN,14.0
WRAY 16-123,,,,,,196.45094642631,-57.65679495262,0.1425,PN,14.0
WRAY 16-144,,,,,,211.40312,-64.68353,,PN,14.0
WRAY 16-142,,,,,,209.55791590358,-58.90877333609,0.1207,PN,14.0
WRAY 16-148,,,,,,213.53921486989,-63.42953314828,0.2771,Sy*,14.0
WRAY 16-163,,,,,,226.50792,-61.35528,,PN,14.0
WRAY 16-159,,,,,,226.03593988851,-60.88892805336,2.3374,PN,14.0
PN VBRC    6,,,,,,220.40024836486,-56.25372750707,0.2372,PN,14.0
IC 4713,,,,IC 4713,,277.49719087334,-67.22442629476,,Sy2,14.04
WRAY 16-195,,,,,,239.78687,-58.398,,PN,14.0
WRAY 16-175,,,,,,230.58075434096,-54.13685861497,0.1777,PN,14.0
WRAY 16-224,,,,,,247.49875,-54.15778,,PN,14.0
IC 4840,,,,IC 4840,,288.965362,-56.209067,,EmG,14.0
PN Mz    3,NAME Ant Nebula,,,,,244.30579807604,-51.9863088593,0.3658,PN,14.0
NGC  6890,,,NGC 6890,,,304.57544074884,-44.80687517588,0.7321,Sy2,14.02
PN Pe  1-8,,,,,,256.59371,-44.21928,,PN,14.0
WRAY 16-261,,,,,,259.88542,-45.8875,,PN,14.0
NAME Hercules Dwarf Galaxy,NAME Her Dwarf Galaxy,,,,,247.7583,12.7917,,G,14.0
ATO J149.5207+02.2079,,,,,,149.52079447949,2.20797950142,0.0169,V*,14.006
2MASX J00025519-2801475,,,,,,0.73000421181,-28.03002224331,,G,14.04
2MASS J12423854-1119207,,,,,,190.6605850964,-11.32246382302,,GiP,14.0
LEDA   74302,,,,,,48.28660986984,-2.72196395245,,Sy2,14.0
UCAC4 449-134512,,,,,,332.4249521735991,-0.3095095206306,2.4689,*,14.034
2MASX J17495076+6823093,,,,,,267.46131273814,68.38592903448,,AGN,14.07
UGC  8245,,,,,,197.151229,78.937203,,AG?,14.08
UGC  3696,,,,,,107.34606759697,48.63554165369,,rG,14.05
NGC  5283,,,NGC 5283,,,205.27395821359,67.6722131073,,Sy2,14.05
MCG+08-18-060,,,,,,150.84723914976,48.36585747381,,LIN,14.077
GD 50,,,,,,57.20910821845,-0.97563616324,32.2169,WD*,14.063
UGC  3059,,,,,,67.426925,3.682053,,AG?,14.07
NGC  1592,,,NGC 1592,,,67.42018189928,-27.40870673349,0.2766,GiP,14.09
V* EW Eri,NAME L 1642-1,,,,,68.7595436,-14.2280034,,Or*,14.08
UGC  3171,,,,,,71.93890070603,1.81934778321,0.2201,GiC,14.05
PN M  1-12,,,,,,109.83945216185,-21.73205617454,0.2191,PN,14.08
Mrk  622,,,,,,121.92081574901,39.00423528003,,Sy2,14.08
LEDA  198776,,,,,,0.45047301765,-28.87600946206,,EmG,14.06
2MASX J00035390-2846485,,,,,,0.97476627279,-28.78026529701,,G,14.05
UGC 11723,,,,,,320.072904,-1.684339,,EmG,14.09
NGC  7667,,,NGC 7667,,,351.095162,-0.108378,,EmG,14.05
Mrk  955,,,,,,9.39921062833,0.28069552951,,Sy2,14.09
Mrk  573,,,,,,25.99074079096,2.34986983381,,Sy2,14.07
LEDA   71397,,,,,,351.35964578756,11.93601697182,,AG?,14.05
UGC   685,,,,,,16.8459669,16.6836077,,AG?,14.07
NGC  3068,,,NGC 3068,,,149.66704168291,28.87752942408,,IG,14.05
ESO 435-20,,,,,,149.838442,-28.133344,,EmG,14.08
2MASX J10364490-2728102,,,,,,159.18722750491,-27.46951064085,0.272,GiG,14.06
UGC  6198,,,,,,167.35751132987,29.56924158414,0.028,LIN,14.09
UCAC4 452-049646,,,,,,167.42348860002,0.28172480089,0.7996,PM*,14.077
UCAC4 449-051024,,,,,,166.97284283386,-0.27941967708,3.3302,*,14.078
Mrk  739E,,,,,,174.1221,21.5958,,Sy1,14.08
UGC  6761,,,,,,176.78281077898,29.57755279969,,LIN,14.08
UCAC4 451-052187,,,,,,174.82186313761,0.18416267337,3.042,*,14.066
UCAC4 451-052271,,,,,,175.78846095113,0.06529678447,3.1984,V*,14.08
UCAC4 451-052431,,,,,,177.59001286271,0.14447854966,0.673,*,14.08
ESO 322-32,,,,,,189.2958,-38.5567,,IG,14.07
2MASX J12484344-4138376,,,,,,192.1810111446299,-41.64368112388,,GiG,14.05
NGC  4906,,,NGC 4906,,,195.16566822405,27.92395652779,,G,14.08
NGC  4871,,,NGC 4871,,,194.87484625967,27.95643601638,,AGN,14.07
G  64-31,,,,,,209.6816224139246,-0.0799705480169,37.3523,PM*,14.076
LBN 032.38+01.93,,,,,,281.0575,-0.3147,,HII,14.05
Parsamian 21,,,,,,292.25364198214,9.64523950728,,Or*,14.07
M  27,NAME Diabolo Nebula,M 27,NGC 6853,,,299.90151327087,22.72119779432,2.57,PN,14.089
NGC  1673,,,NGC 1673,,,70.662,-69.82,,Cl*,14.07
OGLE-CL SMC 155,,,,,,16.86613,-72.49347,,OpC,14.08
[BS95] 276,,,,,,17.52167,-72.73764,,Cl*,14.09
[H86] 114,,,,,,12.64513,-72.65056,,Cl*,14.08
[RZ2005] 140,,,,,,15.67787,-71.48136,,Cl*,14.05
ESO 326-6,,,,,,212.78504101447,-40.10528667536,,EmG,14.09
IC 4995,,,,IC 4995,,304.99574814337,-52.62191763971,2.4504,Sy2,14.06
NGC  2832A,,,NGC 2832A,,,,,,G,14.05
UCAC4 648-049868,,,,,,160.4861365920142,39.5748605277011,3.2932,*,14.057
UCAC4 450-051774,,,,,,175.71302417546,-0.08310980539,4.43,PM*,14.05
NGC  1278,,,NGC 1278,,,49.97554603964,41.56340933124,,GiG,14.14
ZSFW N1961 a,,,,,,86.0992,69.2889,,G,14.14
Mrk    7,,,,,,112.047746,72.573106,,bCG,14.15
2MASX J08102337+6815414,,,,,,122.59764286198,68.26172272112,,Sy2,14.1
UGC  5336,,,,,,149.3869298,69.0474263,,AG?,14.1
UGC  4289,,,,,,123.93686175113,58.32101142117,,AGN,14.11
Mrk  220,,,,,,190.949571,54.896144,,GiP,14.1
NGC  2691,,,NGC 2691,,,133.69292900218,39.53879511664,0.2328,AGN,14.1
FIRST J143348.3+400538,,,,,,218.45145416738,40.09415649553,,rG,14.11
UGC  2716,,,,,,51.030238,17.753038,,LSB,14.11
Mrk  609,,,,,,51.35566276651,-6.14387431848,,Sy2,14.12
IRAS 06115-3241,,,,,,93.33779520782,-32.69851724223,,Sy2,14.1
NGC  2622,,,NGC 2622,,,129.54557624978,24.89527605508,,Sy2,14.12
NGC   424,,,NGC 424,,,17.86516042729,-38.08345030459,0.3441,Sy2,14.12
NGC  7214,,,NGC 7214,,,332.28192983534,-27.80948915577,,Sy1,14.1
DUGRS 409-061,,,,,,1.36625873811,-28.87724460943,,G,14.11
LEDA  198775,,,,,,1.7294167,-30.7761556,,G,14.15
LEDA  198790,,,,,,0.73336416729,-29.92681798269,,G,14.15
ESO 411-16,,,,,,11.91475,-27.947597,,EmG,14.11
2dFGRS TGS143Z303,,,,,,12.36477310653,-26.53829812413,,G,14.13
ESO 601-25,,,,,,332.5534,-18.86493,,AG?,14.13
IC  184,,,,IC 184,,29.96352047195,-6.84036339131,,Sy2,14.1
[HVG99b] 00459+0105W,,,,,,12.1245,1.35339,,GiP,14.15
NGC   533,,,NGC 533,,,21.38086457677,1.75923240467,,GiG,14.11
UGC  1104,,,,,,23.17716273209,18.31708734293,1.612,AG?,14.13
2MFGC 17792,,,,,,355.707487,27.120217,,GiC,14.13
Mrk  917,,,,,,340.28158552559,32.16974250083,,Sy2,14.1
NAME NGC 383 Group,NAME NGC 383 Group,,,,,16.8654,32.3997,,GrG,14.1
Mrk  412,,,,,,149.49859418148,32.23972025583,,AG?,14.13
UGCA 201,,,,,,151.575729,28.944858,,SBG,14.12
LP  549-10,,,,,,149.9673317181,2.78040353915,52.1733,PM*,14.103
UGC  5667,,,,,,156.87377753288,1.25459921877,,G,14.14
GPM 159.891695+00.034961,,,,,,159.89168037389,0.03475364929,1.4352,*,14.1
GPM 159.851037-00.172158,,,,,,159.85100334913,-0.1722515952,1.0899,*,14.1
GPM 160.214287-00.004453,,,,,,160.21416193788,-0.00487551854,2.3653,*,14.1
ESO 501-16,,,,,,158.49847972138,-27.3362221698,,GiC,14.14
NGC  3289,,,NGC 3289,,,158.53091485353,-35.32334179584,,GiG,14.13
UGC  5886,,,,,,161.71451382792,-1.39138387302,,EmG,14.12
UGC  5922,,,,,,162.25635717441,-0.64039877366,,AG?,14.15
GPM 165.909695+00.265178,,,,,,165.90956658984,0.2651253045,1.1899,*,14.1
GPM 165.936195+00.208497,,,,,,165.9359286538,0.20833805813,1.8788,*,14.1
GPM 165.869429-00.282494,,,,,,165.86928151728,-0.28282692004,1.7346,*,14.1
GPM 166.142899-00.253106,,,,,,166.14264048065,-0.25317860871,1.2798,*,14.1
ESO 503-1,,,,,,168.509492,-26.365772,,G,14.11
UCAC4 450-051878,,,,,,176.6628747118,-0.16933945232,4.2687,*,14.139
MCG-01-30-032,,,,,,176.64764354814,-3.85947453562,0.5242,GiG,14.1
NGC  4385,,,NGC 4385,,,186.4283749795299,0.57257726157,,AGN,14.12
PN K  1-23,,,,,,187.7190799755099,-44.23780733174,0.3246,PN,14.1
[C83] Field DW5,,,,,,190.7625,3.6594,,G,14.1
HE 1233+0026,,,,,,189.04467662744,0.16705107527,0.1428,HB*,14.1
2MASX J12501152-4113155,,,,,,192.54812597078,-41.22098152631,1.2713,GiG,14.12
UGC  8069,,,,,,194.29748028283,29.04505092061,,Sy2,14.15
IC 3943,,,,IC 3943,,194.65147303986,28.11374200419,,LIN,14.13
NGC  4872,,,NGC 4872,,,194.89217171503,27.94685519906,,AGN,14.1
NGC  4867,,,NGC 4867,,,194.81354404998,27.97072676492,,GiG,14.14
NGC  4873,,,NGC 4873,,,194.88664867224,27.98361769396,,EmG,14.13
LEDA  831560,,,,,,214.58091521023,-21.18661324684,,Sy1,14.13
UGC  9315,,,,,,217.4485855186499,35.57429742441,,AGN,14.14
GPM 219.288860+00.073442,,,,,,219.28899560924,0.07331721019,1.4029,*,14.1
GPM 220.200644-00.252400,,,,,,220.20029,-0.25231,,*,14.105
GPM 219.713860-00.132175,,,,,,219.71383027971,-0.13227656171,0.7761,*,14.1
GPM 219.796610-00.162328,,,,,,219.79652730162,-0.16237726652,1.0499,*,14.1
GPM 220.250256-00.072644,,,,,,220.2502920891,-0.07298536,1.5099,*,14.1
GPM 220.447131-00.019014,,,,,,220.44723531336,-0.01901762029,0.5932,*,14.1
GPM 220.541010-00.015614,,,,,,220.54079035781,-0.01601146005,0.872,*,14.1
GPM 220.621610-00.251183,,,,,,220.62149556458,-0.25113115108,1.3396,*,14.1
GPM 220.168094-00.177869,,,,,,220.16789981158,-0.17795764438,0.9402,*,14.1
PN M  3-29,,,,,,279.85757610389,-30.67700632382,0.1691,PN,14.1
WRAY 16-417,,,,,,281.06083310023,-30.3270525282,0.1023,PN,14.1
MCG+01-52-014,,,,,,308.6763453267799,7.98949591163,,GiP,14.11
NGC  6882,,,NGC 6882,,,302.95,26.82,2.08174,OpC,14.1
BRAN 193A,,,,,,132.5925,-49.0844,,RNe,14.15
ESO  86-61,,,,,,92.063,-62.988,,Cl*,14.15
2MASSI J0454260-691102,,,,,,73.609054,-69.184044,,*,14.1
ESO 197-9,,,,,,28.19360283753,-48.89116295894,1.2459,EmG,14.13
6dFGS gJ015430.0-493233,,,,,,28.62528553564,-49.54242699432,,GiG,14.1
KMHK 1449,,,,,,87.5,-73.047,,Cl*,14.12
KMHK  105,,,,,,71.875,-72.588,,Cl*,14.14
KMHK  891,,,,,,81.071,-76.21,,Cl*,14.12
NAME HW 71SE,NAME HW 71SE,,,,,18.8815,-72.37964,,Cl*,14.12
[RZ2005]  93,,,,,,13.82108,-73.5015,,Cl*,14.11
LHA 115-N  20,,,,,,11.949358,-73.257147,,Em*,14.13
Bruck  39,,,,,,11.36692,-73.48075,,Cl*,14.13
OGLE SMC-SC4  60066,,,,,,11.73242,-73.33247,,As*,14.11
Bruck 121,,,,,,16.12704,-72.61844,,Cl*,14.12
LHA 115-N  84B,,,,,,18.6967869433,-73.32961165657,1.2841,Em*,14.15
LHA 115-N  76B,,,,,,15.78221,-72.10747,,Em*,14.1
[RZ2005] 130,,,,,,15.38712,-72.20461,,Cl*,14.13
WRAY 16-108,,,,,,183.83562506506,-63.65371305731,0.2892,PN,14.1
ESO 140-43,,,,,,281.22495536611,-62.3646872824,0.2508,Sy1,14.1
WRAY 16-227,,,,,,248.83845907991,-53.8364966664,,PN,14.1
ESO 286-20,,,,,,314.8754,-42.7731,,IG,14.13
NAME Coma Dwarf Galaxy,NAME Coma Ber Galaxy,,,,,186.7458,23.9042,,G,14.1
2MASX J00121295-3009550,,,,,,3.05399845254,-30.16534260406,,G,14.11
LEDA  730076,,,,,,359.83071260222,-29.3779038666,,EmG,14.11
UCAC4 458-051048,,,,,,176.67042735642,1.58169679187,2.3702,*,14.148
2MASX J00015075-3005323,,,,,,0.46148235879,-30.09238230364,1.6552,G,14.11
2MASX J00183589-0702555,,,,,,4.64960638204,-7.04884475405,,Sy2,14.1
MCG-02-09-040,,,,,,51.27063571739,-12.30808121438,,Sy2,14.15
MCG+13-11-017,,,NGC 6068A,,,238.698058,78.985192,,GiP,14.1
NGC  3858,,,NGC 3866,,,176.2986516077,-9.31392504904,,Sy2,14.15
NGC  1273,,,NGC 1273,,,49.86144286357,41.54048630078,,GiG,14.2
Mrk 1073,,,,,,48.75595518415,42.03578472752,,Sy2,14.18
LEDA   12519,,,,,,50.1374264628,41.57412784913,,AG?,14.2
UGCA  86,,,,,,59.95125,67.1385,,AG?,14.2
ZSFW N1961 c,,,,,,85.8538,69.4233,,G,14.18
IC  450,,,,IC 450,,103.05139427733,74.42697811881,0.0439,Sy1,14.19
2MASX J08382309+6507160,,,,,,129.596221,65.121125,,SBG,14.16
UGC  4133,,,,,,120.03574129677,56.36559784964,,GiP,14.17
4FGL J1518.6+4044,,,,,,229.6620838203,40.75005127672,,Sy1,14.19
NGC  1194,,,NGC 1194,,,45.95463501222,-1.10372641775,,Sy2,14.18
ESO 549-50,,,,,,60.69222269735,-21.11910864582,,Sy2,14.17
MCG-01-13-025,,,,,,72.92299315973,-3.80936966611,0.2732,Sy1,14.18
ATO J083.0537-03.2541,,,,,,83.05373121481,-3.25411269218,2.9217,Em*,14.2
2MASS J05371866-4443048,,,,,,84.32773633707,-44.71800210739,,Sy2,14.19
NGC  2022,,,NGC 2022,,,85.52579343888,9.08627388766,0.4378,PN,14.2
UGC  3535,,,,,,101.60011441036,43.82478174639,,GiP,14.19
IC 2227,,,,IC 2227,,121.77994162961,36.2334610374,0.7473,Sy2,14.19
2MASX J23594135-3127269,,,,,,359.9223,-31.4575,,G,14.17
LEDA  198780,,,,,,0.84344997128,-30.83038398328,,EmG,14.16
2MASX J00003329-3043350,,,,,,0.138733,-30.726397,,G,14.19
2MASX J00095488-2856367,,,,,,2.47886062825,-28.94343375072,,GiC,14.19
NGC  7310,,,NGC 7310,,,338.65372633326,-22.48506767783,,G,14.2
ESO 602-21,,,,,,337.38976082655,-19.82324013796,,EmG,14.16
IC 5345,,,,IC 5345,,354.88430281385,-22.41332137268,,EmG,14.19
MCG+00-03-033,,,,,,14.09518372839,-1.20974739542,,LIN,14.1810875
2MASX J23105020+0908393,,,,,,347.70910892026,9.14434593828,,GiP,14.18
UGC    17,,,,,,0.929659,15.217976,,AG?,14.19
2MASS J01481024+2744322,,,,,,27.04264702436,27.74226905287,0.7257,G,14.2
UGC 12163,,,,,,340.66390125381,29.7253616924,,Sy1,14.16
Bol 338,,,,,,10.245296,40.596503,,GlC,14.168
[MLV92] 237751,,,,,,10.254796,41.229281,,GlC,14.17
Mrk  704,,,,,,139.60832166324,16.305453686,0.0064,Sy1,14.2
6dFGS gJ091333.7-242030,,,,,,138.39033483958,-24.34164292746,,Sy2,14.2
UGC  5288,,,,,,147.821838,7.82557,,PaG,14.18
ESO 436-15,,,,,,156.0675,-28.73,,IG,14.2
GPM 159.900354+00.036611,,,,,,159.90040005277,0.03648821161,1.232,*,14.2
GPM 160.132483+00.131144,,,,,,160.13231366465,0.1309372945,1.6049,*,14.2
IC  632,,,,IC 632,,159.79913231416,-0.40948009227,,Sy2,14.18
GPM 160.064970-00.011789,,,,,,160.06501580152,-0.01192262977,0.9199,*,14.2
ESO 501-17,,,,,,158.59911496956,-26.49143543486,,GiG,14.18
2MASX J10364122-2733392,,,,,,159.17164681577,-27.56105164832,,GiG,14.18
IC 2637,,,,IC 2637,,168.4572909456,9.58627284763,0.5189,Sy1,14.17
GPM 166.627174+00.181253,,,,,,166.62697677906,0.1813237352,1.5609,*,14.2
GPM 166.020699-00.104947,,,,,,166.02062945653,-0.10508722922,0.3889,*,14.2
UCAC4 450-051029,,,,,,168.08017311621,-0.12583314115,0.1321,V*,14.19
ESO 438-9,,,,,,167.70000965139,-28.50104693836,0.228,Sy1,14.17
HE 1117+0003,,,,,,170.12804452,-0.22061827477,0.1762,HB*,14.2
IC  745,,,,IC 745,,178.5511333024,0.13661760209,,AGN,14.19
PB  3894,,,,,,183.57364111991,14.05366186754,0.0107,Sy1,14.19
IC 3059,,,,IC 3059,,183.729989,13.461392,,GiP,14.19
NGC  4601,,,NGC 4601,,,190.19475596607,-40.89302992984,0.3439,GiG,14.2
NGC  4876,,,NGC 4876,,,194.93501805293,27.91246772362,,LIN,14.18
HE 1254+0009,,,,,,194.30377367545,-0.11099812341,0.0849,Pe*,14.171
UGC  8259,,,NGC 5004C,,,197.75704950324,29.57834543905,,SBG,14.2
UGC  8651,,,,,,204.97396,40.74036,,AG?,14.2
NGC  5597,,,NGC 5597,,,216.11435,-16.762694,,Sy1,14.18
UGC  9367,,,,,,218.32700672765,34.73456174025,0.3973,LIN,14.18
GSC 00325-00973,,,,,,220.03069781568,0.039843235,1.159,*,14.2
GPM 219.642377+00.265983,,,,,,219.64245675898,0.26582995455,1.0262,*,14.2
GPM 220.178964+00.266481,,,,,,220.17904027283,0.26642037948,1.4804,*,14.2
GPM 219.874019-00.131069,,,,,,219.87392448728,-0.13095949521,0.9456,*,14.2
GPM 220.013277-00.088986,,,,,,220.0132483801,-0.08910555135,0.2201,*,14.2
GPM 220.501948-00.180739,,,,,,220.50196918422,-0.18069315716,1.0202,*,14.2
GPM 220.573885-00.129872,,,,,,220.57393126674,-0.12994295622,0.2185,*,14.2
IRAS 20562-3159,,,,,,314.83638259249,-31.79298844414,,Sy1,14.2
PN H  1-37,,,,,,267.68567,-39.2905,,PN,14.2
ESO 462-20,,,,,,306.736513,-29.118817,,IG,14.18
WRAY 16-423,,,,,,290.54429,-31.51075,,PN,14.2
Haro 3-38,,,,,,271.50477054226,-28.28450237072,0.2251,Mi*,14.157
PN H  2-43,,,,,,273.19994300367,-28.33326158387,0.1263,PN,14.2
UGC  9799,,,,,,229.18537247464,7.02161816965,,Sy2,14.17
NGC  6846,,,NGC 6846,,,299.112,32.349,0.089,OpC,14.2
UGC 10491,,,,,,249.55859173342,41.93884449934,,IG,14.17
IRAS 08394-4039,,,,,,130.32201398951,-40.83342695824,1.0793,Em*,14.2
VdBH 26,,,,,,134.5179,-47.3794,,RNe,14.2
BRAN 247,,,,,,139.6096,-48.4392,,RNe,14.16
ESO 198-24,,,,,,39.58215190088,-52.19231775211,0.058,Sy1,14.17
LEDA   89965,,,,,,59.5779,-61.4019,,Sy2,14.2
KMHK 1588,,,,,,90.158208,-70.070642,,Cl*,14.18
KMHK 1515,,,,,,88.412,-73.057,,Cl*,14.17
2MASX J06430602-7412553,,,,,,100.77482103995,-74.21529025114,,GiG,14.17
KMHK  883,,,,,,81.054,-75.567,,Cl*,14.2
KMHK    7,,,,,,68.161,-72.340158,,Cl*,14.2
PN Pe  1-1,,,,,,159.61494020057,-56.78534078379,,PN,14.178
WRAY 16-92,,,,,,172.19745853649,-60.1101855568,,PN,14.2
LIN 184,,,,,,12.9483,-72.8461,,Em*,14.2
[MA93] 1071,,,,,,14.61387983229,-72.66447118616,0.6892,*,14.19
OGLE-CL SMC 86,,,,,,13.20425,-72.51125,,Cl*,14.17
HW 24,,,,,,11.86071,-72.47925,,Cl*,14.17
2MASX J22592277-5035323,,,,,,344.8446677537799,-50.59227358956,,Sy1,14.17
WRAY 16-151,,,,,,214.68058037915,-63.11946921395,0.2585,PN,14.2
ESO 290-1,,,,,,340.46929344346,-46.09292477402,,G,14.19
WRAY 16-147,NAME Southern Crab,,,,,212.96691848157,-51.44005197834,0.2391,Sy*,14.2
ESO 141-32,,,,,,288.22114829244,-60.38633301156,,Sy2,14.2
WRAY 16-181,,,,,,231.2826930984299,-51.32837089625,,PN,14.2
2MASX J14555298-3833390,,,,,,223.97081947589,-38.56082420542,,EmG,14.2
ESO 285-36,,,,,,308.78053570116,-43.32017074095,,IG,14.19
WRAY 15-1552,,,,,,253.3527611280399,-44.88133006193,0.3421,Be*,14.2
2MASX J09591870-1928233,,,,,,149.828053589,-19.47313851555,,GiG,14.17
2MASS J09591469+0245497,,,,,,149.81120524219,2.76382618464,1.3553,*,14.19
2MASX J00040889-2849135,,,,,,1.03715608806,-28.82051640212,,G,14.2
2MASX J00085434-3002478,,,,,,2.22653139804,-30.04658802163,,G,14.18
2MASX J00033068-3128532,,,,,,0.87788004097,-31.48147621514,,G,14.16
2MASX J00084419-3102269,,,,,,2.18402225457,-31.04083496887,,G,14.2
2dFGRS TGS359Z157,,,,,,1.6176383,-30.6691828,,G,14.19
CTLGD 8691,,,,,,0.42276286623,-29.49579645755,,EmG,14.18
NAME Andromeda XXIII,NAME Andromeda XXIII,,,,,22.3408,38.7189,,G,14.2
UGC  1813,,,,,,35.3856280756248,39.3567348067649,,GiP,14.21
7C 1821+6419,,,,,,275.4883876131,64.34339480891,,Sy1,14.24
3C 371,,,,,,271.71116788205,69.82447489146,3.1,BLL,14.22
ZSFW N1961 d,,,,,,86.4154,69.0542,,G,14.22
NGC  5985,,,NGC 5985,,,234.90439405924,59.33200469074,0.2928,SyG,14.22
NGC  3741,,,NGC 3741,,,174.023974,45.284155,,AG?,14.23
Mrk 1081,,,,,,61.37645155208,4.41175106814,,GiP,14.22
UGC  3532,,,,,,101.55154222064,43.79252327645,,GiP,14.22
MCG+02-22-006,,,,,,130.70085836817,14.26523502736,,GiP,14.23
NGC  2718,,,NGC 2718,,,134.710285,6.292994,,AGN,14.24
ESO 292-24,,,,,,356.752837,-44.761989,,G,14.24
LEDA   89420,,,,,,351.3507860422,-38.44699383223,,Sy2,14.24
ESO 407-18,,,,,,351.61467,-32.38875,,G,14.23
ESO 411-17,,,,,,11.9813609281,-29.20602639095,,G,14.21
2MASX J00564206-2944139,,,,,,14.17528269562,-29.73713845798,,G,14.23
MCG+00-56-013,,,,,,332.97050098817,0.10870393894,,LIN,14.23
NGC  7672,,,NGC 7672,,,351.8809829133799,12.38523127323,,Sy2,14.21
